time;input thrust;input tilt;x_drone;y_drone;theta;xdot_drone;ydot_drone
0;50;0;0;0;0;0;0
0.01;50;0;0;0;0;-0.166667;0.0685667
0.02;50;0;-0.00166667;0.000685667;0;-0.333323;0.137129
0.03;50;0;-0.0049999;0.00205696;0;-0.49995;0.205679
0.04;50;0;-0.0099994;0.00411375;0;-0.666527;0.274209
0.05;50;0;-0.0166647;0.00685584;0;-0.833033;0.34271
0.06;50;0;-0.024995;0.0102829;0;-0.99945;0.411174
0.07;50;0;-0.0349895;0.0143947;0;-1.16576;0.479592
0.08;50;0;-0.0466471;0.0191906;0;-1.33193;0.547957
0.09;50;0;-0.0599664;0.0246702;0;-1.49796;0.616261
0.1;50;0;-0.074946;0.0308328;0;-1.66382;0.684495
0.11;50;0;-0.0915842;0.0376777;0;-1.82949;0.752651
0.12;50;0;-0.109879;0.0452042;0;-1.99495;0.820721
0.13;50;0;-0.129829;0.0534114;0;-2.16018;0.888698
0.14;50;0;-0.15143;0.0622984;0;-2.32516;0.956572
0.15;50;0;-0.174682;0.0718641;0;-2.48988;1.02434
0.16;50;0;-0.199581;0.0821075;0;-2.65431;1.09198
0.17;50;0;-0.226124;0.0930274;0;-2.81844;1.15951
0.18;50;0;-0.254308;0.104622;0;-2.98225;1.2269
0.19;50;0;-0.284131;0.116891;0;-3.14571;1.29414
0.2;50;0;-0.315588;0.129833;0;-3.30881;1.36124
0.21;50;0;-0.348676;0.143445;0;-3.47153;1.42819
0.22;50;0;-0.383391;0.157727;0;-3.63385;1.49497
0.23;50;0;-0.41973;0.172677;0;-3.79576;1.56157
0.24;50;0;-0.457687;0.188293;0;-3.95723;1.628
0.25;50;0;-0.49726;0.204573;0;-4.11825;1.69425
0.26;50;0;-0.538442;0.221515;0;-4.27881;1.7603
0.27;50;0;-0.58123;0.239118;0;-4.43887;1.82615
0.28;50;0;-0.625619;0.25738;0;-4.59844;1.8918
0.29;50;0;-0.671603;0.276298;0;-4.75748;1.95723
0.3;50;0;-0.719178;0.29587;0;-4.91599;2.02244
0.31;50;0;-0.768338;0.316094;0;-5.07395;2.08742
0.32;50;0;-0.819077;0.336968;0;-5.23133;2.15217
0.33;50;0;-0.871391;0.35849;0;-5.38814;2.21668
0.34;50;0;-0.925272;0.380657;0;-5.54434;2.28094
0.35;50;0;-0.980716;0.403466;0;-5.69993;2.34495
0.36;50;0;-1.03771;0.426916;0;-5.85488;2.4087
0.37;50;0;-1.09626;0.451003;0;-6.00919;2.47218
0.38;50;0;-1.15636;0.475725;0;-6.16284;2.53539
0.39;50;0;-1.21798;0.501079;0;-6.31582;2.59833
0.4;50;0;-1.28114;0.527062;0;-6.46811;2.66098
0.41;50;0;-1.34582;0.553672;0;-6.6197;2.72334
0.42;50;0;-1.41202;0.580905;0;-6.77057;2.78541
0.43;50;0;-1.47973;0.608759;0;-6.92071;2.84718
0.44;50;0;-1.54893;0.637231;0;-7.07012;2.90865
0.45;50;0;-1.61963;0.666318;0;-7.21877;2.9698
0.46;50;0;-1.69182;0.696016;0;-7.36665;3.03064
0.47;50;0;-1.76549;0.726322;0;-7.51376;3.09116
0.48;50;0;-1.84063;0.757234;0;-7.66007;3.15135
0.49;50;0;-1.91723;0.788747;0;-7.80559;3.21122
0.5;50;0;-1.99528;0.820859;0;-7.9503;3.27075
0.51;50;0;-2.07479;0.853567;0;-8.09418;3.32995
0.52;50;0;-2.15573;0.886866;0;-8.23723;3.3888
0.53;50;0;-2.2381;0.920754;0;-8.37944;3.4473
0.54;50;0;-2.32189;0.955227;0;-8.5208;3.50546
0.55;50;0;-2.4071;0.990282;0;-8.6613;3.56326
0.56;50;0;-2.49372;1.02591;0;-8.80093;3.6207
0.57;50;0;-2.58172;1.06212;0;-8.93968;3.67778
0.58;50;0;-2.67112;1.0989;0;-9.07754;3.7345
0.59;50;0;-2.7619;1.13624;0;-9.2145;3.79085
0.6;50;0;-2.85404;1.17415;0;-9.35057;3.84682
0.61;50;0;-2.94755;1.21262;0;-9.48572;3.90242
0.62;50;0;-3.0424;1.25165;0;-9.61995;3.95765
0.63;50;0;-3.1386;1.29122;0;-9.75326;4.01249
0.64;50;0;-3.23614;1.33135;0;-9.88564;4.06695
0.65;50;0;-3.33499;1.37202;0;-10.0171;4.12103
0.66;50;0;-3.43516;1.41323;0;-10.1476;4.17472
0.67;50;0;-3.53664;1.45497;0;-10.2771;4.22801
0.68;50;0;-3.63941;1.49725;0;-10.4057;4.28092
0.69;50;0;-3.74347;1.54006;0;-10.5334;4.33343
0.7;50;0;-3.8488;1.5834;0;-10.66;4.38554
0.71;50;0;-3.9554;1.62725;0;-10.7858;4.43726
0.72;50;0;-4.06326;1.67163;0;-10.9105;4.48857
0.73;50;0;-4.17237;1.71651;0;-11.0342;4.53949
0.74;50;0;-4.28271;1.76191;0;-11.157;4.59
0.75;50;0;-4.39428;1.80781;0;-11.2788;4.64011
0.76;50;0;-4.50707;1.85421;0;-11.3996;4.68981
0.77;50;0;-4.62106;1.90111;0;-11.5195;4.73911
0.78;50;0;-4.73626;1.9485;0;-11.6383;4.788
0.79;50;0;-4.85264;1.99638;0;-11.7562;4.83648
0.8;50;0;-4.9702;2.04474;0;-11.873;4.88455
0.81;50;0;-5.08893;2.09359;0;-11.9889;4.93222
0.82;50;0;-5.20882;2.14291;0;-12.1037;4.97947
0.83;50;0;-5.32986;2.1927;0;-12.2176;5.02631
0.84;50;0;-5.45203;2.24297;0;-12.3304;5.07275
0.85;50;0;-5.57534;2.29369;0;-12.4423;5.11877
0.86;50;0;-5.69976;2.34488;0;-12.5532;5.16438
0.87;50;0;-5.82529;2.39653;0;-12.663;5.20958
0.88;50;0;-5.95192;2.44862;0;-12.7719;5.25437
0.89;50;0;-6.07964;2.50116;0;-12.8798;5.29874
0.9;50;0;-6.20844;2.55415;0;-12.9867;5.34271
0.91;50;0;-6.33831;2.60758;0;-13.0925;5.38627
0.92;50;0;-6.46923;2.66144;0;-13.1974;5.42942
0.93;50;0;-6.60121;2.71574;0;-13.3013;5.47216
0.94;50;0;-6.73422;2.77046;0;-13.4042;5.51449
0.95;50;0;-6.86826;2.8256;0;-13.5061;5.55641
0.96;50;0;-7.00332;2.88117;0;-13.607;5.59793
0.97;50;0;-7.13939;2.93715;0;-13.707;5.63904
0.98;50;0;-7.27646;2.99354;0;-13.8059;5.67975
0.99;50;0;-7.41452;3.05033;0;-13.9039;5.72005
1;50;0;-7.55356;3.10753;0;-14.0009;5.75995
1.01;50;0;-7.69357;3.16513;0;-14.0969;5.79945
1.02;50;0;-7.83454;3.22313;0;-14.1919;5.83855
1.03;50;0;-7.97646;3.28151;0;-14.286;5.87725
1.04;50;0;-8.11932;3.34029;0;-14.3791;5.91556
1.05;50;0;-8.26311;3.39944;0;-14.4712;5.95346
1.06;50;0;-8.40782;3.45898;0;-14.5624;5.99098
1.07;50;0;-8.55344;3.51889;0;-14.6526;6.0281
1.08;50;0;-8.69997;3.57917;0;-14.7419;6.06483
1.09;50;0;-8.84739;3.63982;0;-14.8303;6.10117
1.1;50;0;-8.99569;3.70083;0;-14.9177;6.13712
1.11;50;0;-9.14487;3.7622;0;-15.0041;6.17269
1.12;50;0;-9.29491;3.82393;0;-15.0896;6.20787
1.13;50;0;-9.44581;3.886;0;-15.1742;6.24268
1.14;50;0;-9.59755;3.94843;0;-15.2579;6.2771
1.15;50;0;-9.75013;4.0112;0;-15.3407;6.31114
1.16;50;0;-9.90353;4.07431;0;-15.4225;6.34481
1.17;50;0;-10.0578;4.13776;0;-15.5034;6.37811
1.18;50;0;-10.2128;4.20154;0;-15.5835;6.41104
1.19;50;0;-10.3686;4.26565;0;-15.6626;6.44359
1.2;50;0;-10.5253;4.33009;0;-15.7408;6.47578
1.21;50;0;-10.6827;4.39485;0;-15.8182;6.50761
1.22;50;0;-10.8408;4.45992;0;-15.8947;6.53907
1.23;50;0;-10.9998;4.52531;0;-15.9703;6.57018
1.24;50;0;-11.1595;4.59102;0;-16.045;6.60092
1.25;50;0;-11.3199;4.65702;0;-16.1189;6.63131
1.26;50;0;-11.4811;4.72334;0;-16.1919;6.66135
1.27;50;0;-11.6431;4.78995;0;-16.2641;6.69104
1.28;50;0;-11.8057;4.85686;0;-16.3354;6.72039
1.29;50;0;-11.969;4.92407;0;-16.4059;6.74938
1.3;50;0;-12.1331;4.99156;0;-16.4755;6.77804
1.31;50;0;-12.2979;5.05934;0;-16.5444;6.80635
1.32;50;0;-12.4633;5.1274;0;-16.6124;6.83433
1.33;50;0;-12.6294;5.19575;0;-16.6796;6.86198
1.34;50;0;-12.7962;5.26437;0;-16.746;6.88929
1.35;50;0;-12.9637;5.33326;0;-16.8116;6.91627
1.36;50;0;-13.1318;5.40242;0;-16.8764;6.94293
1.37;50;0;-13.3006;5.47185;0;-16.9404;6.96926
1.38;50;0;-13.47;5.54154;0;-17.0036;6.99528
1.39;50;0;-13.64;5.6115;0;-17.066;7.02097
1.4;50;0;-13.8107;5.68171;0;-17.1277;7.04635
1.41;50;0;-13.9819;5.75217;0;-17.1887;7.07142
1.42;50;0;-14.1538;5.82288;0;-17.2488;7.09617
1.43;50;0;-14.3263;5.89385;0;-17.3083;7.12062
1.44;50;0;-14.4994;5.96505;0;-17.367;7.14476
1.45;50;0;-14.6731;6.0365;0;-17.4249;7.16861
1.46;50;0;-14.8473;6.10819;0;-17.4821;7.19215
1.47;50;0;-15.0221;6.18011;0;-17.5386;7.2154
