time,thrust,tilt,x_drone,y_drone,theta,xdot_drone,ydot_drone,x_cargo,y_cargo,xdot_cargo,ydot_cargo
0,50,0,0,1,0,0,0,0,0,0,0
0.05,50,0,0,1,0,0,0.342833,0,0,0,-0.4905
0.1,50,0,0,1.01714,0,0,0.685471,0,-0.024525,0,-0.980399
0.15,50,0,0,1.05142,0,0,1.02752,0,-0.0735449,0,-1.4685
0.2,50,0,0,1.10279,0,0,1.36859,0,-0.14697,0,-1.9536
0.25,50,0,0,1.17122,0,0,1.70831,0,-0.24465,0,-2.43456
0.3,50,0,0,1.25664,0,0,2.04628,0,-0.366378,0,-2.91025
0.35,50,0,0,1.35895,0,0,-83.7579,0,-0.51189,0,125.83
0.4,50,0,0,-2.82894,0,0,-144.293,0,5.77963,0,194.612
0.45,50,0,0,-10.0436,0,0,4912.22,0,15.5102,0,-7432.77
0.5,50,0,0,235.568,0,0,-29555.6,0,-356.128,0,122059
0.55,50,0,0,-1242.21,0,0,1.15922e+06,0,5746.84,0,-3.67235e+07
0.6,50,0,0,56718.6,0,0,-2.23848e+09,0,-1.83043e+06,0,3.3715e+12
0.65,50,0,0,-1.11867e+08,0,0,8.3513e+15,0,1.68573e+11,0,-2.84175e+22
0.7,50,0,0,4.17565e+14,0,0,-1.1624e+29,0,-1.42087e+21,0,2.01889e+42
0.75,50,0,0,-5.81202e+27,0,0,2.25198e+55,0,1.00944e+41,0,-1.01897e+82
0.8,50,0,0,1.12599e+54,0,0,-8.45232e+107,0,-5.09487e+80,0,2.59577e+161
0.85,50,0,0,-4.22616e+106,0,0,1.1907e+213,0,1.29789e+160,-nan(ind),-inf
0.9,50,0,0,5.95348e+211,0,-nan(ind),-inf,-nan(ind),-inf,-nan(ind),-nan(ind)
0.95,50,0,-nan(ind),-inf,0,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind)
1,50,0,-nan(ind),-nan(ind),0,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind)
1.05,50,0,-nan(ind),-nan(ind),0,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind)
1.1,50,0,-nan(ind),-nan(ind),0,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind)
1.15,50,0,-nan(ind),-nan(ind),0,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind)
1.2,50,0,-nan(ind),-nan(ind),0,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind)
1.25,50,0,-nan(ind),-nan(ind),0,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind)
1.3,50,0,-nan(ind),-nan(ind),0,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind)
1.35,50,0,-nan(ind),-nan(ind),0,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind)
1.4,50,0,-nan(ind),-nan(ind),0,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind)
1.45,50,0,-nan(ind),-nan(ind),0,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind)
1.5,50,0,-nan(ind),-nan(ind),0,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind)
1.55,50,0,-nan(ind),-nan(ind),0,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind)
1.6,50,0,-nan(ind),-nan(ind),0,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind)
1.65,50,0,-nan(ind),-nan(ind),0,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind)
1.7,50,0,-nan(ind),-nan(ind),0,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind)
1.75,50,0,-nan(ind),-nan(ind),0,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind)
1.8,50,0,-nan(ind),-nan(ind),0,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind)
1.85,50,0,-nan(ind),-nan(ind),0,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind)
1.9,50,0,-nan(ind),-nan(ind),0,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind)
1.95,50,0,-nan(ind),-nan(ind),0,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind)
2,50,0,-nan(ind),-nan(ind),0,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind)
2.05,50,0,-nan(ind),-nan(ind),0,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind)
2.1,50,0,-nan(ind),-nan(ind),0,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind)
2.15,50,0,-nan(ind),-nan(ind),0,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind)
2.2,50,0,-nan(ind),-nan(ind),0,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind)
2.25,50,0,-nan(ind),-nan(ind),0,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind)
2.3,50,0,-nan(ind),-nan(ind),0,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind)
2.35,50,0,-nan(ind),-nan(ind),0,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind)
2.4,50,0,-nan(ind),-nan(ind),0,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind)
