time,thrust,tilt,x_drone,y_drone,theta,xdot_drone,ydot_drone
0,30,-4,0,0,0,0,0
0.01,30,-4,0,0,-0.04,0,0.0019
0.02,30,-4,0,1.9e-05,-0.08,6.98132e-05,0.00379997
0.03,30,-4,6.98132e-07,5.69997e-05,-0.12,0.000209439,0.00569987
0.04,30,-4,2.79253e-06,0.000113998,-0.16,0.000418878,0.00759964
0.05,30,-4,6.98131e-06,0.000189995,-0.2,0.00069813,0.00949923
0.06,30,-4,1.39626e-05,0.000284987,-0.24,0.00104719,0.0113986
0.07,30,-4,2.44345e-05,0.000398973,-0.28,0.00146607,0.0132977
0.08,30,-4,3.90952e-05,0.00053195,-0.32,0.00195475,0.0151964
0.09,30,-4,5.86427e-05,0.000683914,-0.36,0.00251324,0.0170948
0.1,30,-4,8.37751e-05,0.000854862,-0.4,0.00314154,0.0189927
0.11,30,-4,0.000115191,0.00104479,-0.44,0.00383965,0.0208902
0.12,30,-4,0.000153587,0.00125369,-0.48,0.00460756,0.0227871
0.13,30,-4,0.000199663,0.00148156,-0.52,0.00544527,0.0246834
0.14,30,-4,0.000254115,0.00172839,-0.56,0.00635278,0.026579
0.15,30,-4,0.000317643,0.00199419,-0.6,0.00733009,0.028474
0.16,30,-4,0.000390944,0.00227893,-0.64,0.0083772,0.0303683
0.17,30,-4,0.000474716,0.00258261,-0.68,0.0094941,0.0322617
0.18,30,-4,0.000569657,0.00290523,-0.72,0.0106808,0.0341543
0.19,30,-4,0.000676465,0.00324677,-0.76,0.0119373,0.036046
0.2,30,-4,0.000795838,0.00360723,-0.8,0.0132635,0.0379367
0.21,30,-4,0.000928473,0.0039866,-0.84,0.0146596,0.0398265
0.22,30,-4,0.00107507,0.00438486,-0.88,0.0161254,0.0417152
0.23,30,-4,0.00123632,0.00480201,-0.92,0.017661,0.0436028
0.24,30,-4,0.00141293,0.00523804,-0.96,0.0192663,0.0454892
0.25,30,-4,0.0016056,0.00569293,-1,0.0209415,0.0473744
0.26,30,-4,0.00181501,0.00616668,-1.04,0.0226863,0.0492584
0.27,30,-4,0.00204187,0.00665926,-1.08,0.024501,0.051141
0.28,30,-4,0.00228688,0.00717067,-1.12,0.0263853,0.0530223
0.29,30,-4,0.00255074,0.00770089,-1.16,0.0283395,0.0549021
0.3,30,-4,0.00283413,0.00824991,-1.2,0.0303633,0.0567805
0.31,30,-4,0.00313776,0.00881772,-1.24,0.0324569,0.0586573
0.32,30,-4,0.00346233,0.00940429,-1.28,0.0346202,0.0605326
0.33,30,-4,0.00380854,0.0100096,-1.32,0.0368533,0.0624062
0.34,30,-4,0.00417707,0.0106337,-1.36,0.039156,0.0642782
0.35,30,-4,0.00456863,0.0112765,-1.4,0.0415284,0.0661484
0.36,30,-4,0.00498391,0.0119379,-1.44,0.0439706,0.0680168
0.37,30,-4,0.00542362,0.0126181,-1.48,0.0464824,0.0698834
0.38,30,-4,0.00588844,0.0133169,-1.52,0.0490639,0.0717481
0.39,30,-4,0.00637908,0.0140344,-1.56,0.0517151,0.0736108
0.4,30,-4,0.00689623,0.0147705,-1.6,0.0544359,0.0754716
0.41,30,-4,0.00744059,0.0155253,-1.64,0.0572264,0.0773302
