time,thrust,tilt,x_drone,y_drone,theta,xdot_drone,ydot_drone,x_cargo,y_cargo,xdot_cargo,ydot_cargo
0,80,0,0,1,0,0,0,0,0,0,0
0.01,80,0,0,1.00084,0,0,0.168564,0,-0.000490496,0,-0.0980984
0.02,80,0,0,1.00337,0,0,0.337108,0,-0.00196194,0,-0.196187
0.03,80,0,0,1.00758,0,0,0.505615,0,-0.00441418,0,-0.294257
0.04,80,0,0,1.01348,0,0,0.674065,0,-0.00784697,0,-0.392297
0.05,80,0,0,1.02107,0,0,0.842439,0,-0.01226,0,-0.4903
0.06,80,0,0,1.03033,0,0,1.01072,0,-0.0176528,0,-0.588254
0.07,80,0,0,1.04128,0,0,1.17888,0,-0.0240249,0,-0.68615
0.08,80,0,0,1.05391,0,0,1.34692,0,-0.0313756,0,-0.78398
0.09,80,0,0,1.06822,0,0,1.5148,0,-0.0397042,0,-0.881733
0.1,80,0,0,1.0842,0,0,1.68252,0,-0.04901,0,-0.979399
0.11,80,0,0,1.10187,0,0,1.85004,0,-0.0592919,0,-1.07697
0.12,80,0,0,1.1212,0,0,2.01736,0,-0.070549,0,-1.17444
0.13,80,0,0,1.14221,0,0,2.18446,0,-0.0827802,0,-1.27179
0.14,80,0,0,1.16489,0,0,2.35131,0,-0.0959844,0,-1.36902
0.15,80,0,0,1.18924,0,0,2.5179,0,-0.11016,0,-1.46611
0.16,80,0,0,1.21525,0,0,2.68421,0,-0.125306,0,-1.56306
0.17,80,0,0,1.24292,0,0,2.85022,0,-0.141421,0,-1.65986
0.18,80,0,0,1.27225,0,0,3.01592,0,-0.158503,0,-1.7565
0.19,80,0,0,1.30324,0,0,3.18129,0,-0.17655,0,-1.85298
0.2,80,0,0,1.33119,0,0,2.07572,0,-0.188527,0,-0.0429122
0.21,80,0,0,1.33944,0,0,0.0719988,0,-0.16944,0,3.11462
0.22,80,0,0,1.33988,0,0,0.127701,0,-0.137118,0,3.18056
0.23,80,0,0,1.342,0,0,0.296252,0,-0.105828,0,3.07757
0.24,80,0,0,1.3458,0,0,0.464769,0,-0.0755656,0,2.97489
0.25,80,0,0,1.35129,0,0,0.633235,0,-0.0463289,0,2.87251
0.26,80,0,0,1.35847,0,0,0.801629,0,-0.0181144,0,2.77043
0.27,80,0,0,1.36732,0,0,0.969933,0,0.00908071,0,2.66863
0.28,80,0,0,1.37786,0,0,1.13813,0,0.0352592,0,2.56711
0.29,80,0,0,1.39009,0,0,1.3062,0,0.0604237,0,2.46584
0.3,80,0,0,1.40399,0,0,1.47412,0,0.0845769,0,2.36482
0.31,80,0,0,1.41957,0,0,1.64188,0,0.107721,0,2.26405
0.32,80,0,0,1.43682,0,0,1.80945,0,0.129859,0,2.16349
0.33,80,0,0,1.45576,0,0,1.97682,0,0.150992,0,2.06316
0.34,80,0,0,1.47636,0,0,2.14397,0,0.171122,0,1.96303
0.35,80,0,0,1.49863,0,0,2.31088,0,0.190253,0,1.8631
0.36,80,0,0,1.52258,0,0,2.47754,0,0.208385,0,1.76336
0.37,80,0,0,1.54818,0,0,2.64392,0,0.225521,0,1.66379
0.38,80,0,0,1.57545,0,0,2.81,0,0.241662,0,1.56439
0.39,80,0,0,1.60438,0,0,2.97578,0,0.256809,0,1.46514
0.4,80,0,0,1.63497,0,0,3.14123,0,0.270965,0,1.36604
0.41,80,0,0,1.66721,0,0,3.30633,0,0.28413,0,1.26707
0.42,80,0,0,1.70109,0,0,3.47107,0,0.296307,0,1.16823
0.43,80,0,0,1.73663,0,0,3.63543,0,0.307495,0,1.0695
0.44,80,0,0,1.7738,0,0,3.79939,0,0.317697,0,0.970882
0.45,80,0,0,1.81261,0,0,3.96293,0,0.326913,0,0.872357
0.46,80,0,0,1.85085,0,0,3.42971,0,0.338455,0,1.81888
0.47,80,0,0,1.87682,0,0,2.08355,0,0.369875,0,3.98427
0.48,80,0,0,1.89747,0,0,2.14925,0,0.410707,0,4.02997
0.49,80,0,0,1.9198,0,0,2.31616,0,0.450476,0,3.92396
0.5,80,0,0,1.9438,0,0,2.4828,0,0.489187,0,3.81837
0.51,80,0,0,1.96946,0,0,2.64917,0,0.526845,0,3.71317
0.52,80,0,0,1.99678,0,0,2.81525,0,0.563452,0,3.60837
0.53,80,0,0,2.02576,0,0,2.98102,0,0.599014,0,3.50395
0.54,80,0,0,2.0564,0,0,3.14646,0,0.633532,0,3.39989
0.55,80,0,0,2.08869,0,0,3.31155,0,0.667013,0,3.29619
0.56,80,0,0,2.12263,0,0,3.47627,0,0.699457,0,3.19282
0.57,80,0,0,2.15821,0,0,3.64062,0,0.73087,0,3.08979
0.58,80,0,0,2.19544,0,0,3.80456,0,0.761254,0,2.98707
0.59,80,0,0,2.2343,0,0,3.96809,0,0.790613,0,2.88466
0.6,80,0,0,2.2748,0,0,4.13119,0,0.818948,0,2.78255
0.61,80,0,0,2.31692,0,0,4.29384,0,0.846264,0,2.68072
0.62,80,0,0,2.36067,0,0,4.45603,0,0.872564,0,2.57916
0.63,80,0,0,2.40589,0,0,4.35292,0,0.898071,0,2.87509
0.64,80,0,0,2.44323,0,0,3.32981,0,0.936811,0,4.54987
0.65,80,0,0,2.47627,0,0,3.38593,0,0.983396,0,4.60408
0.66,80,0,0,2.51095,0,0,3.55048,0,1.02889,0,4.49563
0.67,80,0,0,2.54728,0,0,3.71465,0,1.07331,0,4.38767
0.68,80,0,0,2.58524,0,0,3.87841,0,1.11665,0,4.28018
0.69,80,0,0,2.62484,0,0,4.04175,0,1.15892,0,4.17314
0.7,80,0,0,2.66607,0,0,4.20465,0,1.20011,0,4.06656
0.71,80,0,0,2.70893,0,0,4.36709,0,1.24025,0,3.9604
0.72,80,0,0,2.75341,0,0,4.52906,0,1.27932,0,3.85467
0.73,80,0,0,2.79951,0,0,4.69055,0,1.31734,0,3.74934
0.74,80,0,0,2.84722,0,0,4.85152,0,1.35431,0,3.64441
0.75,80,0,0,2.89615,0,0,4.7857,0,1.39083,0,3.87926
0.76,80,0,0,2.94022,0,0,4.17286,0,1.43597,0,4.9333
0.77,80,0,0,2.98203,0,0,4.26217,0,1.48585,0,4.93289
0.78,80,0,0,3.02546,0,0,4.42445,0,1.53463,0,4.82289
0.79,80,0,0,3.07052,0,0,4.58625,0,1.58231,0,4.71342
0.8,80,0,0,3.11719,0,0,4.74755,0,1.6289,0,4.60447
0.81,80,0,0,3.16547,0,0,4.90835,0,1.6744,0,4.49602
0.82,80,0,0,3.21535,0,0,5.06862,0,1.71882,0,4.38805
0.83,80,0,0,3.26631,0,0,5.0411,0,1.76295,0,4.56135
0.84,80,0,0,3.31478,0,0,4.74018,0,1.81214,0,5.14362
0.85,80,0,0,3.36251,0,0,4.85378,0,1.86373,0,5.10327
0.86,80,0,0,3.41185,0,0,5.01423,0,1.91421,0,4.99243
0.87,80,0,0,3.46279,0,0,5.17414,0,1.96358,0,4.88214
0.88,80,0,0,3.5147,0,0,5.17458,0,2.01279,0,5.01065
0.89,80,0,0,3.56586,0,0,5.09533,0,2.06442,0,5.25785
0.9,80,0,0,3.61723,0,0,5.18998,0,2.11702,0,5.24359
0.91,80,0,0,3.66976,0,0,5.29635,0,2.16915,0,5.21141
0.92,80,0,0,3.72284,0,0,5.31827,0,2.22171,0,5.30537
0.93,80,0,0,3.77612,0,0,5.34677,0,2.27526,0,5.38885
0.94,80,0,0,3.82992,0,0,5.41393,0,2.32927,0,5.41379
0.95,80,0,0,3.88438,0,0,5.47193,0,2.38356,0,5.45198
0.96,80,0,0,3.9393,0,0,5.51261,0,2.43841,0,5.51558
0.97,80,0,0,3.99465,0,0,5.55984,0,2.49384,0,5.56881
0.98,80,0,0,4.05052,0,0,5.61394,0,2.54974,0,5.61117
0.99,80,0,0,4.10691,0,0,5.66358,0,2.60609,0,5.65969
1,80,0,0,4.16378,0,0,5.71025,0,2.66295,0,5.71209
1.01,80,0,0,4.22113,0,0,5.75912,0,2.72032,0,5.76064
1.02,80,0,0,4.27897,0,0,5.80871,0,2.77816,0,5.80756
1.03,80,0,0,4.33729,0,0,5.85678,0,2.83647,0,5.85618
1.04,80,0,0,4.3961,0,0,5.90438,0,2.89528,0,5.90496
1.05,80,0,0,4.45538,0,0,5.95239,0,2.95457,0,5.95254
1.06,80,0,0,4.51515,0,0,6.0002,0,3.01433,0,5.99986
1.07,80,0,0,4.57539,0,0,6.04748,0,3.07457,0,6.04741
1.08,80,0,0,4.6361,0,0,6.09456,0,3.13528,0,6.09468
1.09,80,0,0,4.69728,0,0,6.14155,0,3.19646,0,6.14151
1.1,80,0,0,4.75893,0,0,6.18827,0,3.25811,0,6.18817
1.11,80,0,0,4.82104,0,0,6.23471,0,3.32022,0,6.23469
1.12,80,0,0,4.88362,0,0,6.28093,0,3.3828,0,6.28094
1.13,80,0,0,4.94666,0,0,6.32695,0,3.44584,0,6.32691
1.14,80,0,0,5.01016,0,0,6.37273,0,3.50934,0,6.37268
1.15,80,0,0,5.07411,0,0,6.41826,0,3.57329,0,6.41824
1.16,80,0,0,5.13852,0,0,6.46356,0,3.6377,0,6.46354
1.17,80,0,0,5.20338,0,0,6.50864,0,3.70256,0,6.50861
1.18,80,0,0,5.26869,0,0,6.55348,0,3.76787,0,6.55345
1.19,80,0,0,5.33445,0,0,6.59808,0,3.83363,0,6.59805
1.2,80,0,0,5.40065,0,0,6.64245,0,3.89983,0,6.64242
1.21,80,0,0,5.4673,0,0,6.68658,0,3.96648,0,6.68655
1.22,80,0,0,5.53439,0,0,6.73048,0,4.03356,0,6.73045
1.23,80,0,0,5.60191,0,0,6.77414,0,4.10109,0,6.77411
1.24,80,0,0,5.66987,0,0,6.81757,0,4.16904,0,6.81754
1.25,80,0,0,5.73826,0,0,6.86076,0,4.23744,0,6.86073
1.26,80,0,0,5.80708,0,0,6.90371,0,4.30626,0,6.90368
1.27,80,0,0,5.87633,0,0,6.94643,0,4.37551,0,6.9464
1.28,80,0,0,5.94601,0,0,6.98891,0,4.44519,0,6.98888
1.29,80,0,0,6.01611,0,0,7.03116,0,4.51529,0,7.03113
1.3,80,0,0,6.08663,0,0,7.07316,0,4.58581,0,7.07313
1.31,80,0,0,6.15757,0,0,7.11493,0,4.65675,0,7.1149
1.32,80,0,0,6.22893,0,0,7.15646,0,4.7281,0,7.15643
1.33,80,0,0,6.3007,0,0,7.19776,0,4.79988,0,7.19773
1.34,80,0,0,6.37288,0,0,7.23882,0,4.87206,0,7.23879
1.35,80,0,0,6.44548,0,0,7.27964,0,4.94465,0,7.27961
1.36,80,0,0,6.51848,0,0,7.32022,0,5.01765,0,7.32019
1.37,80,0,0,6.59188,0,0,7.36057,0,5.09105,0,7.36054
1.38,80,0,0,6.66569,0,0,7.40068,0,5.16486,0,7.40065
1.39,80,0,0,6.73989,0,0,7.44056,0,5.23907,0,7.44053
1.4,80,0,0,6.8145,0,0,7.48019,0,5.31367,0,7.48016
1.41,80,0,0,6.8895,0,0,7.51959,0,5.38867,0,7.51956
1.42,80,0,0,6.96489,0,0,7.55876,0,5.46406,0,7.55873
1.43,80,0,0,7.04067,0,0,7.59769,0,5.53984,0,7.59766
1.44,80,0,0,7.11684,0,0,7.63638,0,5.61601,0,7.63635
1.45,80,0,0,7.1934,0,0,7.67483,0,5.69257,0,7.6748
1.46,80,0,0,7.27034,0,0,7.71306,0,5.76951,0,7.71303
1.47,80,0,0,7.34766,0,0,7.75104,0,5.84683,0,7.75101
1.48,80,0,0,7.42536,0,0,7.78879,0,5.92453,0,7.78876
1.49,80,0,0,7.50343,0,0,7.82631,0,6.0026,0,7.82628
1.5,80,0,0,7.58188,0,0,7.86359,0,6.08105,0,7.86356
1.51,80,0,0,7.6607,0,0,7.90064,0,6.15987,0,7.90061
1.52,80,0,0,7.7399,0,0,7.93746,0,6.23906,0,7.93743
1.53,80,0,0,7.81945,0,0,7.97404,0,6.31862,0,7.97401
1.54,80,0,0,7.89938,0,0,8.01039,0,6.39854,0,8.01036
1.55,80,0,0,7.97966,0,0,8.04651,0,6.47883,0,8.04648
1.56,80,0,0,8.0603,0,0,8.08239,0,6.55947,0,8.08236
1.57,80,0,0,8.14131,0,0,8.11805,0,6.64047,0,8.11802
1.58,80,0,0,8.22266,0,0,8.15347,0,6.72183,0,8.15344
1.59,80,0,0,8.30438,0,0,8.18866,0,6.80354,0,8.18863
1.6,80,0,0,8.38644,0,0,8.22363,0,6.8856,0,8.2236
1.61,80,0,0,8.46885,0,0,8.25836,0,6.96801,0,8.25833
1.62,80,0,0,8.5516,0,0,8.29287,0,7.05077,0,8.29284
1.63,80,0,0,8.6347,0,0,8.32714,0,7.13387,0,8.32712
1.64,80,0,0,8.71815,0,0,8.36119,0,7.21731,0,8.36117
1.65,80,0,0,8.80193,0,0,8.39502,0,7.30109,0,8.39499
1.66,80,0,0,8.88605,0,0,8.42861,0,7.38521,0,8.42859
1.67,80,0,0,8.9705,0,0,8.46198,0,7.46966,0,8.46196
1.68,80,0,0,9.05528,0,0,8.49513,0,7.55445,0,8.4951
1.69,80,0,0,9.1404,0,0,8.52805,0,7.63956,0,8.52802
1.7,80,0,0,9.22584,0,0,8.56075,0,7.72501,0,8.56072
1.71,80,0,0,9.31161,0,0,8.59322,0,7.81078,0,8.59319
1.72,80,0,0,9.39771,0,0,8.62547,0,7.89687,0,8.62545
1.73,80,0,0,9.48412,0,0,8.6575,0,7.98329,0,8.65748
1.74,80,0,0,9.57086,0,0,8.68931,0,8.07002,0,8.68928
1.75,80,0,0,9.65791,0,0,8.7209,0,8.15707,0,8.72087
1.76,80,0,0,9.74527,0,0,8.75227,0,8.24444,0,8.75224
1.77,80,0,0,9.83295,0,0,8.78342,0,8.33211,0,8.78339
1.78,80,0,0,9.92094,0,0,8.81435,0,8.4201,0,8.81432
1.79,80,0,0,10.0092,0,0,8.84506,0,8.5084,0,8.84504
1.8,80,0,0,10.0978,0,0,8.87556,0,8.597,0,8.87554
1.81,80,0,0,10.1868,0,0,8.90584,0,8.68591,0,8.90582
1.82,80,0,0,10.276,0,0,8.93591,0,8.77512,0,8.93589
1.83,80,0,0,10.3655,0,0,8.96576,0,8.86463,0,8.96574
1.84,80,0,0,10.4553,0,0,8.9954,0,8.95443,0,8.99538
1.85,80,0,0,10.5454,0,0,9.02483,0,9.04453,0,9.0248
1.86,80,0,0,10.6358,0,0,9.05405,0,9.13493,0,9.05402
1.87,80,0,0,10.7265,0,0,9.08305,0,9.22561,0,9.08302
1.88,80,0,0,10.8174,0,0,9.11185,0,9.31659,0,9.11182
1.89,80,0,0,10.9087,0,0,9.14043,0,9.40785,0,9.1404
1.9,80,0,0,11.0002,0,0,9.16881,0,9.4994,0,9.16878
1.91,80,0,0,11.0921,0,0,9.19698,0,9.59122,0,9.19695
1.92,80,0,0,11.1842,0,0,9.22494,0,9.68333,0,9.22492
1.93,80,0,0,11.2766,0,0,9.2527,0,9.77572,0,9.25267
1.94,80,0,0,11.3692,0,0,9.28025,0,9.86839,0,9.28023
1.95,80,0,0,11.4622,0,0,9.3076,0,9.96133,0,9.30758
1.96,80,0,0,11.5554,0,0,9.33475,0,10.0545,0,9.33472
1.97,80,0,0,11.6489,0,0,9.36169,0,10.148,0,9.36167
1.98,80,0,0,11.7426,0,0,9.38843,0,10.2418,0,9.38841
1.99,80,0,0,11.8366,0,0,9.41498,0,10.3358,0,9.41495
2,80,0,0,11.9309,0,0,9.44132,0,10.4301,0,9.4413
2.01,80,0,0,12.0255,0,0,9.46747,0,10.5246,0,9.46744
2.02,80,0,0,12.1203,0,0,9.49342,0,10.6194,0,9.49339
2.03,80,0,0,12.2153,0,0,9.51917,0,10.7145,0,9.51914
2.04,80,0,0,12.3106,0,0,9.54472,0,10.8098,0,9.5447
2.05,80,0,0,12.4062,0,0,9.57009,0,10.9054,0,9.57006
2.06,80,0,0,12.502,0,0,9.59525,0,11.0012,0,9.59523
2.07,80,0,0,12.5981,0,0,9.62023,0,11.0973,0,9.62021
2.08,80,0,0,12.6944,0,0,9.64502,0,11.1936,0,9.64499
2.09,80,0,0,12.791,0,0,9.66961,0,11.2902,0,9.66959
2.1,80,0,0,12.8878,0,0,9.69402,0,11.387,0,9.69399
2.11,80,0,0,12.9849,0,0,9.71823,0,11.4841,0,9.71821
2.12,80,0,0,13.0822,0,0,9.74226,0,11.5814,0,9.74224
2.13,80,0,0,13.1797,0,0,9.7661,0,11.6789,0,9.76608
2.14,80,0,0,13.2775,0,0,9.78976,0,11.7767,0,9.78974
2.15,80,0,0,13.3755,0,0,9.81323,0,11.8747,0,9.81321
2.16,80,0,0,13.4738,0,0,9.83652,0,11.9729,0,9.8365
2.17,80,0,0,13.5723,0,0,9.85963,0,12.0714,0,9.8596
2.18,80,0,0,13.671,0,0,9.88255,0,12.1701,0,9.88253
2.19,80,0,0,13.7699,0,0,9.9053,0,12.2691,0,9.90527
2.2,80,0,0,13.8691,0,0,9.92786,0,12.3682,0,9.92784
2.21,80,0,0,13.9685,0,0,9.95025,0,12.4676,0,9.95022
2.22,80,0,0,14.0681,0,0,9.97245,0,12.5672,0,9.97243
2.23,80,0,0,14.1679,0,0,9.99449,0,12.6671,0,9.99446
2.24,80,0,0,14.268,0,0,10.0163,0,12.7671,0,10.0163
2.25,80,0,0,14.3683,0,0,10.038,0,12.8674,0,10.038
2.26,80,0,0,14.4687,0,0,10.0595,0,12.9679,0,10.0595
2.27,80,0,0,14.5694,0,0,10.0809,0,13.0686,0,10.0808
2.28,80,0,0,14.6704,0,0,10.102,0,13.1695,0,10.102
2.29,80,0,0,14.7715,0,0,10.123,0,13.2706,0,10.123
