time,thrust,tilt,x_drone,y_drone,theta,xdot_drone,ydot_drone,x_cargo,y_cargo,xdot_cargo,ydot_cargo
0,80,0,0,1,0,0,0,0,0,0,0
0.05,80,0,0,1.02107,0,0,0.842439,0,-0.01226,0,-0.4903
0.1,80,0,0,1.0842,0,0,1.68252,0,-0.04901,0,-0.979399
0.15,80,0,0,1.18924,0,0,2.5179,0,-0.11016,0,-1.46611
0.2,80,0,0,1.33588,0,0,-0.877211,0,-0.195562,0,4.386
0.25,80,0,0,1.17605,0,0,-2.75392,0,0.212243,0,7.78453
0.3,80,0,0,1.05968,0,0,-1.90196,0,0.585621,0,7.15454
0.35,80,0,0,0.985762,0,0,-1.05538,0,0.928066,0,6.5467
0.4,80,0,0,0.95409,0,0,-0.211784,0,1.24062,0,5.95843
0.45,80,0,0,0.964571,0,0,0.630903,0,1.5242,0,5.38745
0.5,80,0,0,1.01715,0,0,1.47179,0,1.77962,0,4.83165
0.55,80,0,0,1.11168,0,0,2.30857,0,2.00758,0,4.28912
0.6,80,0,0,1.2479,0,0,3.13894,0,2.20872,0,3.7581
0.65,80,0,0,1.42543,0,0,3.96067,0,2.38356,0,3.23698
0.7,80,0,0,1.64379,0,0,4.77162,0,2.53256,0,2.72422
0.75,80,0,0,1.90238,0,0,5.56979,0,2.6561,0,2.21841
0.8,80,0,0,2.20052,0,0,6.35328,0,2.75449,0,1.71817
0.85,80,0,0,2.53744,0,0,7.12036,0,2.82798,0,1.22222
0.9,80,0,0,2.91226,0,0,7.86945,0,2.87676,0,0.72929
0.95,80,0,0,3.32406,0,0,8.59916,0,2.90094,0,0.238155
1,80,0,0,3.77183,0,0,9.30825,0,2.90059,0,-0.252342
1.05,80,0,0,4.25452,0,0,9.99569,0,2.87572,0,-0.742174
1.1,80,0,0,3.85856,0,0,336.164,0,4.10429,0,-493.068
1.15,80,0,0,447.285,0,0,-1.10313e+06,0,-1659.33,0,1.95505e+07
1.2,80,0,0,1.01559e+25,0,0,-4.12569e+50,0,-1.69594e+36,0,1.72572e+73
1.25,80,0,-nan(ind),inf,0,-nan(ind),-nan(ind),-nan(ind),-inf,-nan(ind),-nan(ind)
1.3,80,0,-nan(ind),-nan(ind),0,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind)
1.35,80,0,-nan(ind),-nan(ind),0,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind)
1.4,80,0,-nan(ind),-nan(ind),0,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind)
1.45,80,0,-nan(ind),-nan(ind),0,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind)
1.5,80,0,-nan(ind),-nan(ind),0,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind)
1.55,80,0,-nan(ind),-nan(ind),0,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind)
1.6,80,0,-nan(ind),-nan(ind),0,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind)
1.65,80,0,-nan(ind),-nan(ind),0,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind)
1.7,80,0,-nan(ind),-nan(ind),0,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind)
1.75,80,0,-nan(ind),-nan(ind),0,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind)
1.8,80,0,-nan(ind),-nan(ind),0,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind)
1.85,80,0,-nan(ind),-nan(ind),0,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind)
1.9,80,0,-nan(ind),-nan(ind),0,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind)
1.95,80,0,-nan(ind),-nan(ind),0,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind)
2,80,0,-nan(ind),-nan(ind),0,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind)
2.05,80,0,-nan(ind),-nan(ind),0,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind)
2.1,80,0,-nan(ind),-nan(ind),0,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind)
2.15,80,0,-nan(ind),-nan(ind),0,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind)
2.2,80,0,-nan(ind),-nan(ind),0,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind)
2.25,80,0,-nan(ind),-nan(ind),0,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind)
2.3,80,0,-nan(ind),-nan(ind),0,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind)
2.35,80,0,-nan(ind),-nan(ind),0,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind)
2.4,80,0,-nan(ind),-nan(ind),0,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind)
2.45,80,0,-nan(ind),-nan(ind),0,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind)
2.5,80,0,-nan(ind),-nan(ind),0,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind)
2.55,80,0,-nan(ind),-nan(ind),0,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind)
2.6,80,0,-nan(ind),-nan(ind),0,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind)
2.65,80,0,-nan(ind),-nan(ind),0,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind)
2.7,80,0,-nan(ind),-nan(ind),0,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind)
2.75,80,0,-nan(ind),-nan(ind),0,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind)
2.8,80,0,-nan(ind),-nan(ind),0,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind)
2.85,80,0,-nan(ind),-nan(ind),0,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind)
2.9,80,0,-nan(ind),-nan(ind),0,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind)
2.95,80,0,-nan(ind),-nan(ind),0,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind)
3,25,0,-nan(ind),-nan(ind),0,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind)
3.05,25,0,-nan(ind),-nan(ind),0,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind)
3.1,25,0,-nan(ind),-nan(ind),0,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind)
3.15,25,0,-nan(ind),-nan(ind),0,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind)
3.2,25,0,-nan(ind),-nan(ind),0,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind)
3.25,25,0,-nan(ind),-nan(ind),0,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind)
3.3,25,0,-nan(ind),-nan(ind),0,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind)
3.35,25,0,-nan(ind),-nan(ind),0,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind)
3.4,25,0,-nan(ind),-nan(ind),0,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind)
3.45,25,0,-nan(ind),-nan(ind),0,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind)
3.5,25,0,-nan(ind),-nan(ind),0,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind)
3.55,25,0,-nan(ind),-nan(ind),0,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind)
3.6,25,0,-nan(ind),-nan(ind),0,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind)
3.65,25,0,-nan(ind),-nan(ind),0,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind)
3.7,25,0,-nan(ind),-nan(ind),0,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind)
3.75,25,0,-nan(ind),-nan(ind),0,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind)
3.8,25,0,-nan(ind),-nan(ind),0,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind)
3.85,25,0,-nan(ind),-nan(ind),0,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind)
3.9,25,0,-nan(ind),-nan(ind),0,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind)
3.95,25,0,-nan(ind),-nan(ind),0,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind)
4,25,0,-nan(ind),-nan(ind),0,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind)
4.05,25,0,-nan(ind),-nan(ind),0,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind)
4.1,25,0,-nan(ind),-nan(ind),0,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind)
4.15,25,0,-nan(ind),-nan(ind),0,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind)
4.2,25,0,-nan(ind),-nan(ind),0,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind)
4.25,25,0,-nan(ind),-nan(ind),0,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind)
4.3,25,0,-nan(ind),-nan(ind),0,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind)
4.35,25,0,-nan(ind),-nan(ind),0,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind)
4.4,25,0,-nan(ind),-nan(ind),0,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind)
4.45,25,0,-nan(ind),-nan(ind),0,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind)
4.5,25,0,-nan(ind),-nan(ind),0,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind)
4.55,25,0,-nan(ind),-nan(ind),0,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind)
4.6,25,0,-nan(ind),-nan(ind),0,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind)
4.65,25,0,-nan(ind),-nan(ind),0,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind)
4.7,25,0,-nan(ind),-nan(ind),0,-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind),-nan(ind)
