time,thrust,tilt,x_drone,y_drone,theta,xdot_drone,ydot_drone,x_cargo,y_cargo,xdot_cargo,ydot_cargo
0,55,-10,0,1,0,0,0,0,0,0,0
0.01,55,-10,5.33293e-07,1.00043,-0.1,0.000159987,0.0852324,0,-0.000490496,0,-0.0980984
0.02,55,-10,4.26629e-06,1.0017,-0.2,0.000639935,0.170459,0,-0.00196194,0,-0.196187
0.03,55,-10,1.43984e-05,1.00384,-0.3,0.0014398,0.255676,0,-0.00441418,0,-0.294257
0.04,55,-10,3.41285e-05,1.00682,-0.4,0.00255951,0.340876,0,-0.00784697,0,-0.392297
0.05,55,-10,6.66545e-05,1.01065,-0.5,0.00399898,0.426054,0,-0.01226,0,-0.4903
0.06,55,-10,0.000115173,1.01534,-0.6,0.00575806,0.511206,0,-0.0176528,0,-0.588254
0.07,55,-10,0.000182881,1.02088,-0.7,0.00783661,0.596325,0,-0.0240249,0,-0.68615
0.08,55,-10,0.00027297,1.02727,-0.8,0.0102344,0.681406,0,-0.0313756,0,-0.78398
0.09,55,-10,0.000388633,1.0345,-0.9,0.0129514,0.766444,0,-0.0397042,0,-0.881733
0.1,55,-10,0.00053306,1.04259,-1,0.0159871,0.851434,0,-0.04901,0,-0.979399
0.11,55,-10,0.000709437,1.05153,-1.1,0.0193414,0.93637,0,-0.0592919,0,-1.07697
0.12,55,-10,0.000920949,1.06132,-1.2,0.023014,1.02125,0,-0.070549,0,-1.17444
0.13,55,-10,0.00117078,1.07196,-1.3,0.0270045,1.10606,0,-0.0827802,0,-1.27179
0.14,55,-10,0.0014621,1.08344,-1.4,0.0313126,1.1908,0,-0.0959844,0,-1.36902
0.15,55,-10,0.00179809,1.09577,-1.5,0.035938,1.27547,0,-0.11016,0,-1.46611
0.16,55,-10,0.00218191,1.10895,-1.6,0.0408801,1.36006,0,-0.125306,0,-1.56306
0.17,55,-10,0.00261674,1.12297,-1.7,0.0461387,1.44456,0,-0.141421,0,-1.65986
0.18,55,-10,0.00310574,1.13784,-1.8,0.0517131,1.52897,0,-0.158503,0,-1.7565
0.19,55,-10,0.00365206,1.15355,-1.9,0.057603,1.61328,0,-0.17655,0,-1.85298
0.2,55,-10,0.00425885,1.17011,-2,0.0638079,1.69749,0,-0.195562,0,-1.94927
0.21,55,-10,0.00492926,1.1875,-2.1,0.0703271,1.7816,0,-0.215535,0,-2.04537
0.22,55,-10,0.00566644,1.20574,-2.2,0.0771601,1.8656,0,-0.236469,0,-2.14128
0.23,55,-10,0.00647351,1.22481,-2.3,0.0843064,1.94947,0,-0.25836,0,-2.23699
0.24,55,-10,0.00733588,1.24086,-2.4,0.0869056,0.985903,2.66311e-05,-0.275406,0.00730633,-0.761847
0.25,55,-10,0.00818918,1.24016,-2.5,0.0857898,-0.716124,0.000181543,-0.267036,0.0207081,1.82011
0.26,55,-10,0.00908271,1.23252,-2.6,0.0934462,-0.720744,0.000395683,-0.247987,0.0214038,1.85498
0.27,55,-10,0.0100592,1.22574,-2.7,0.1019,-0.635552,0.000609623,-0.229936,0.0213845,1.75525
0.28,55,-10,0.0111218,1.21981,-2.8,0.110675,-0.55041,0.000823376,-0.212881,0.0213663,1.6557
0.29,55,-10,0.0122737,1.21473,-2.9,0.119771,-0.465315,0.00103695,-0.196821,0.0213491,1.55631
0.3,55,-10,0.0135183,1.21051,-3,0.129187,-0.380263,0.00125036,-0.181755,0.021333,1.45707
0.31,55,-10,0.0148586,1.20713,-3.1,0.138926,-0.295248,0.00146362,-0.167679,0.021318,1.35798
0.32,55,-10,0.0162979,1.2046,-3.2,0.148986,-0.210267,0.00167673,-0.154595,0.0213041,1.25903
0.33,55,-10,0.0178394,1.20292,-3.3,0.159368,-0.125315,0.0018897,-0.142498,0.0212912,1.16019
0.34,55,-10,0.0194863,1.20209,-3.4,0.170071,-0.0403902,0.00210255,-0.13139,0.0212794,1.06148
0.35,55,-10,0.0212418,1.20211,-3.5,0.181093,0.0445107,0.00231529,-0.121269,0.0212686,0.962864
0.36,55,-10,0.0231092,1.20298,-3.6,0.192432,0.129386,0.00252793,-0.112133,0.0212589,0.864346
0.37,55,-10,0.0250915,1.2047,-3.7,0.204086,0.214232,0.00274047,-0.103981,0.0212502,0.765914
0.38,55,-10,0.027192,1.20727,-3.8,0.216053,0.299045,0.00295294,-0.0968141,0.0212426,0.667556
0.39,55,-10,0.0294136,1.21068,-3.9,0.228333,0.383818,0.00316533,-0.0906301,0.021236,0.569265
